,Time,SL,SH,SPL,SPH,I1L,I1H,I2L,I2H,I3L,I3H,I4L,I4H,I5L,I5H,D1L,D1H,D2L,D2H,D3L,D3H,D4L,D4H,D5L,D5H,E1L,E1H,E2L,E2H,E3L,E3H,E4L,E4H,E5L,E5H,U1L,U1H,U2L,U2H,U3L,U3H,U4L,U4H,U5L,U5H,T1L,T1H,T2L,T2H,T3L,T3H,T4L,T4H,T5L,T5H,NewI,NewA,NewD1,NewD2,NewD3,NewD4,NewD5,Deaths
Q0,2004,34688.11403,64276.5775,0,0,201.7534161,373.8461845,0,0,0,0,0,0,0,0,859.0265906,1591.763945,27.73221468,51.38739571,17.09649828,31.67956626,0,0,0,0,2837.855701,5258.505889,91.61535216,169.7619326,56.47950384,104.65571,0,0,0,0,3221.349715,5969.114793,103.995805,192.7027342,64.1118692,118.7983734,0,0,0,0,1658.248363,3072.71042,447.3280169,828.8923961,275.1139288,509.782162,0,0,0,0,0,0,0,0,0,0,0,0
Q1,2004.25,34782.39893,64176.18111,0,0,187.371545,515.325553,0,0,0,0,0,0,0,0,850.9300503,1665.021341,28.94734201,53.81119267,10.56829758,19.59735263,0,0,0,0,2802.120982,5201.622933,117.0789753,217.0634729,43.26289362,80.20338811,0,0,0,0,3176.259302,5888.409274,133.5615888,247.6026443,49.3761251,91.53562515,0,0,0,0,1578.743908,2926.745568,426.0660654,789.8598194,256.9431832,476.332448,75.24373463,139.4901072,29.05717184,53.86744869,779.2767974,215.8384131,0,12.70624737,41.33223498,46.87432429,347.8273807,601.1670565
Q2,2004.5,34878.72611,64063.92764,0,0,180.1198008,575.8826512,0,0,0,0,0,0,0,0,836.2595369,1805.816572,27.52195941,51.88634657,7.71868531,14.37110752,0,0,0,0,2766.556077,5173.419669,132.1505631,245.3008195,38.33415312,71.11227037,0,0,0,0,3131.949221,5810.167195,152.8417,283.4747674,44.43180159,82.40559931,0,0,0,0,1509.189641,2799.035216,406.1777734,753.3130578,243.6278446,451.8412101,107.2719272,198.9504286,89.33865612,165.6907203,1570.490498,454.0402372,0,25.93218028,82.22921423,93.07749151,679.0147153,1185.247556
Q3,2004.75,34976.76858,63951.29912,0,0,175.4601659,600.2697452,0,0,0,0,0,0,0,0,820.5037335,1951.302643,25.4970773,49.38984786,6.28226458,11.84320469,0,0,0,0,2730.62956,5178.131998,141.9061104,264.1044881,36.9677405,68.67484856,0,0,0,0,3088.361713,5736.29681,167.2564221,310.3759546,43.76870987,81.2131672,0,0,0,0,1448.051728,2686.894559,388.5602581,720.9305242,232.2490815,430.9090924,121.4529972,225.3401047,159.7253788,296.3492247,2362.731779,703.2584598,0,39.82128739,122.8548174,138.6317909,995.6745602,1750.241182
Q4,2005,35076.40299,63844.6718,0,0,171.776789,607.7879951,0,0,0,0,0,0,0,0,805.2803545,2078.392987,23.5335213,47.36652441,5.43342321,10.48634875,0,0,0,0,2694.530299,5211.133306,148.7403142,278.0880963,37.05411473,69.03091637,0,0,0,0,3045.449049,5668.493942,179.1781555,332.7435672,44.95112924,83.45590235,0,0,0,0,1394.038408,2588.164491,372.9795002,692.3020386,222.2630756,412.5384627,128.0981957,237.7567102,231.7664823,430.1678197,3149.946232,956.6391438,0,54.327236,163.3672306,183.5686801,1299.603751,2296.691588
Q5,2005.25,35177.55366,63747.19922,0,0,168.519567,607.3488353,0,0,0,0,0,0,0,0,790.9236357,2180.658404,21.8150633,45.97124354,4.86011614,9.7027253,0,0,0,0,2658.57592,5265.301973,153.812426,289.4929593,37.66983313,70.50616895,0,0,0,0,3003.193995,5607.922464,189.6544341,352.5732771,46.88958871,87.12735803,0,0,0,0,1346.06289,2501.105474,359.1616363,666.9522707,213.4658114,396.3654935,131.5765027,244.2984678,302.136458,560.9648269,3929.214048,1210.424231,0,69.33852291,203.8940924,227.9267902,1592.340972,2826.041832
Q6,2005.5,35280.15296,63660.20968,0,0,165.5106494,603.2585437,0,0,0,0,0,0,0,0,777.3965827,2258.575801,20.36476802,45.10129183,4.43683999,9.23363348,0,0,0,0,2623.038235,5333.588373,157.7126692,299.4328345,38.42079486,72.3905967,0,0,0,0,2961.605477,5555.190029,199.1533201,370.7898972,49.09138255,91.32833725,0,0,0,0,1303.212299,2424.300419,346.8843405,644.5089118,205.7071058,382.1306389,133.773451,248.4659901,369.640198,686.5101867,4699.401275,1462.704357,0,84.73186318,244.5274867,271.7492002,1875.213041,3339.976542
Q7,2005.75,35384.13514,63584.06019,0,0,162.6937218,597.6466819,0,0,0,0,0,0,0,0,764.5901162,2315.22331,19.15590576,44.60733577,4.10781454,8.9516304,0,0,0,0,2588.110308,5409.957349,160.7650975,308.4748037,39.14631214,74.39122932,0,0,0,0,2920.709049,5510.431635,207.8888108,387.8434989,51.33177455,95.65625968,0,0,0,0,1264.721011,2356.575285,335.9609928,624.6703778,198.8561437,369.6139199,135.5049799,251.7802905,433.9705534,806.2259384,5460.319301,1712.601802,0,100.3941138,285.3269118,315.0808827,2149.37155,3840.161983
Q8,2006,35489.43776,63518.61862,0,0,160.0477742,591.5687751,0,0,0,0,0,0,0,0,752.4072892,2354.35928,18.15039019,44.35765791,3.84460948,8.78535763,0,0,0,0,2553.915801,5489.624516,163.1649267,316.9126191,39.78727759,76.3913709,0,0,0,0,2880.538273,5473.421592,215.9638941,403.970283,53.50809475,99.93346356,0,0,0,0,1229.94764,2296.937899,326.2278717,607.1785506,192.7972474,358.6255113,137.1188003,254.8965261,495.1813154,920.2107931,6212.246348,1959.789843,0,116.2298387,326.3249642,357.9666305,2415.821696,4328.149977
Q9,2006.25,35596.00365,63463.52467,0,0,157.5598555,585.5373395,0,0,0,0,0,0,0,0,740.777765,2379.595433,17.3115152,44.25226044,3.63042413,8.690897,0,0,0,0,2520.526766,5568.995845,165.0414019,324.8983915,40.3278674,78.34647479,0,0,0,0,2841.128423,5443.681072,223.4336854,419.3073526,55.57420525,104.0848655,0,0,0,0,1198.355233,2244.532591,317.5386893,591.8053424,187.4281873,349.0007815,138.7559266,258.088118,553.4616262,1028.822575,6955.668091,2204.224334,0,132.1623893,367.5334061,400.449522,2675.444972,4805.349268
